id,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
43818,82,Iraq,IRQ,15,0,0,AFC,31-12-1992
43873,107,Mozambique,MOZ,9,0,0,CAF,31-12-1992
43816,108,Indonesia,IDN,9,0,0,AFC,31-12-1992
1882218,109,Antigua and Barbuda,ATG,8,0,0,CONCACAF,31-12-1992
43820,110,Jordan,JOR,8,0,0,AFC,31-12-1992
43884,111,Sudan,SDN,7,0,0,CAF,31-12-1992
43871,112,Mauritius,MRI,7,0,0,CAF,31-12-1992
43938,113,Croatia,CRO,7,0,0,UEFA,31-12-1992
43977,106,Fiji,FIJ,9,0,0,OFC,31-12-1992
43896,114,Barbados,BRB,7,0,0,CONCACAF,31-12-1992
43831,116,Oman,OMA,6,0,0,AFC,31-12-1992
43862,117,Guinea-Bissau,GNB,6,0,0,CAF,31-12-1992
43917,118,St. Lucia,LCA,6,0,0,CONCACAF,31-12-1992
43814,119,Hong Kong,HKG,5,0,0,AFC,31-12-1992
43914,120,Panama,PAN,5,0,0,CONCACAF,31-12-1992
43905,121,Grenada,GRN,5,0,0,CONCACAF,31-12-1992
43915,122,Puerto Rico,PUR,5,0,0,CONCACAF,31-12-1992
43842,115,Yemen,YEM,6,0,0,AFC,31-12-1992
43918,105,St. Vincent / Grenadines,VIN,9,0,0,CONCACAF,31-12-1992
43885,104,Swaziland,SWZ,10,0,0,CAF,31-12-1992
43958,103,Luxembourg,LUX,10,0,0,UEFA,31-12-1992
43857,85,Ethiopia,ETH,14,0,0,CAF,31-12-1992
43932,86,Albania,ALB,14,0,0,UEFA,31-12-1992
43923,87,Bolivia,BOL,14,0,0,CONMEBOL,31-12-1992
43808,88,Bahrain,BHR,13,0,0,AFC,31-12-1992
43836,89,Singapore,SIN,13,0,0,AFC,31-12-1992
43853,90,Congo,CGO,13,0,0,CAF,31-12-1992
43827,91,Malaysia,MAS,13,0,0,AFC,31-12-1992
43889,92,Uganda,UGA,12,0,0,CAF,31-12-1992
